path,module,kind,status,lines,bytes,role_hint,symbols,dependencies,extraction_capped,blob
coralnpu/.github/workflows/main.yml,coralnpu,config,indexed,43,1367,CoralNPU上游构建、工具或说明资料,,,False,b697c756630365b61f0b23befc2349d6d56bbcaf
coralnpu/.github/workflows/sim-verilator.yml,coralnpu,config,indexed,133,5299,CoralNPU上游构建、工具或说明资料,,,False,4b5e4c9dc26ae7622b468e3a9628cfd3ef7c7e4f
coralnpu/.gitignore,coralnpu,config,indexed,30,536,CoralNPU上游构建、工具或说明资料,,,False,800ef8861122c7487c2b3db2dc4cc0d3e697206d
coralnpu/.markdown_style.rb,coralnpu,config,indexed,14,452,CoralNPU上游构建、工具或说明资料,,,False,9387443782a5ff1acb78711a5d5e4d6c0351b9d3
coralnpu/.mdlrc,coralnpu,config,indexed,3,49,CoralNPU上游构建、工具或说明资料,,,False,0b63db391a4532ec80893b45680dbfa5e437eed1
coralnpu/.rules.verible_lint,coralnpu,config,indexed,14,505,CoralNPU上游构建、工具或说明资料,,,False,236782d55903670afec661ecbd2fd37d73a33cc1
coralnpu/.scalafmt,coralnpu,config,indexed,12,340,CoralNPU上游构建、工具或说明资料,,,False,b8c9b6b3dde157b981a33819cf992ec9f5c21b2e
coralnpu/.shellcheckrc,coralnpu,config,indexed,5,81,CoralNPU上游构建、工具或说明资料,,,False,acc0be9bd73e9ed55430dda3568e1c1f64a2db5b
coralnpu/.style.yapf,coralnpu,config,indexed,18,501,CoralNPU上游构建、工具或说明资料,,,False,40250b035abb59406cfb876006a7610270bb6c2a
coralnpu/BUILD.bazel,coralnpu,build,indexed,1,43,CoralNPU上游构建、工具或说明资料,,,False,039703f36e647b68da899f52e2c098eb5d08ae2e
coralnpu/CONTRIBUTING.md,coralnpu,documentation,indexed,45,1633,CoralNPU上游构建、工具或说明资料,,,False,e5cc1f331a651e550d27985310ece2b96a17fc57
coralnpu/LICENSE,coralnpu,documentation,indexed,202,11357,CoralNPU上游构建、工具或说明资料,,,False,7a4a3ea2424c09fbe48d455aed1eaa94d9124835
coralnpu/MODULE.bazel,coralnpu,build,indexed,83,2941,CoralNPU上游构建、工具或说明资料,,,False,fd787b72525633de2325870a231d4996cc35f52a
coralnpu/PREUPLOAD.cfg,coralnpu,config,indexed,9,247,CoralNPU上游构建、工具或说明资料,,,False,2ca7dbeedbaf2bacd9ec3432e265c8ed1b8910db
coralnpu/README.md,coralnpu,documentation,indexed,62,2401,CoralNPU上游构建、工具或说明资料,,,False,8bb61abb28ce21bf841c8d86f7f6e031df8dda82
coralnpu/WORKSPACE,coralnpu,build,indexed,338,10019,CoralNPU上游构建、工具或说明资料,,,False,81b57c947e638b334e91adb37510c1bf9d775012
coralnpu/coralnpu_test_utils/BUILD,coralnpu,build,indexed,198,4372,CoralNPU上游构建、工具或说明资料,,,False,0c3c71ebe94b4c0d84a2a83d57ba4949a2d9fd7e
coralnpu/coralnpu_test_utils/TileLinkULInterface.py,coralnpu,source,indexed,344,12408,CoralNPU上游构建、工具或说明资料,create_a_channel_req@24 (def) | TileLinkULInterface@66 (class/type) | __init__@80 (def) | device_a_set_ready@127 (def) | init@131 (def) | _host_a_driver@142 (def) | _host_d_monitor@176 (def) | _device_a_monitor@223 (def) | _device_d_driver@268 (def) | host_put@302 (def) | host_get_response@306 (def) | device_get_request@310 (def) | device_respond@314 (def),cocotb | cocotb.clock | cocotb.queue | cocotb.triggers | cocotb.result | math | random | coralnpu_test_utils.secded_golden,False,c9f8cd2667b6b56194a4162f818a805177f22a6e
